"filename", "language", "Properties", "Python", "PowerShell", "Batch", "XML", "C", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\admin.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\migrations\0001_initial.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 34
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\migrations\0002_room_user.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\migrations\0003_alter_room_user.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\models.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\templates\home.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 20, 114
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\chat\templates\room.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 4, 26, 165
