"filename", "language", "HTML", "JavaScript", "XML", "Python", "CSS", "comment", "blank", "total"
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\admin.py", "Python", 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\apps.py", "Python", 0, 0, 0, 4, 0, 0, 3, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\migrations\0001_initial.py", "Python", 0, 0, 0, 26, 0, 1, 7, 34
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\migrations\0002_room_user.py", "Python", 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\migrations\0003_alter_room_user.py", "Python", 0, 0, 0, 14, 0, 1, 6, 21
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\models.py", "Python", 0, 0, 0, 12, 0, 1, 5, 18
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\templates\home.html", "HTML", 94, 0, 0, 0, 0, 0, 20, 114
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\templates\room.html", "HTML", 135, 0, 0, 0, 0, 4, 26, 165
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\tests.py", "Python", 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\urls.py", "Python", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\chat\views.py", "Python", 0, 0, 0, 46, 0, 5, 19, 70
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\manage.py", "Python", 0, 0, 0, 15, 0, 3, 5, 23
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\media\images\Users\bike_icon.svg", "XML", 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\myproject\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\myproject\asgi.py", "Python", 0, 0, 0, 4, 0, 8, 5, 17
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\myproject\settings.py", "Python", 0, 0, 0, 76, 0, 29, 37, 142
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\myproject\urls.py", "Python", 0, 0, 0, 9, 0, 16, 2, 27
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\myproject\wsgi.py", "Python", 0, 0, 0, 4, 0, 8, 5, 17
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\admin.py", "Python", 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\apps.py", "Python", 0, 0, 0, 4, 0, 0, 3, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\forms.py", "Python", 0, 0, 0, 34, 0, 2, 14, 50
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\managers.py", "Python", 0, 0, 0, 20, 0, 10, 4, 34
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0001_initial.py", "Python", 0, 0, 0, 15, 0, 1, 7, 23
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0002_cycle.py", "Python", 0, 0, 0, 19, 0, 1, 6, 26
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0003_alter_cycle_owner_id.py", "Python", 0, 0, 0, 12, 0, 1, 6, 19
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0004_alter_cycle_cycle_img_alter_cycle_owner_id.py", "Python", 0, 0, 0, 17, 0, 1, 6, 24
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0005_alter_cycle_dop_alter_cycle_owner_id.py", "Python", 0, 0, 0, 17, 0, 1, 6, 24
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0006_delete_photo_alter_cycle_owner_id.py", "Python", 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0007_appuser.py", "Python", 0, 0, 0, 37, 0, 1, 6, 44
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0008_remove_appuser_username.py", "Python", 0, 0, 0, 11, 0, 1, 6, 18
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0009_delete_appuser.py", "Python", 0, 0, 0, 10, 0, 1, 6, 17
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\0010_appuser.py", "Python", 0, 0, 0, 35, 0, 1, 6, 42
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations copy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0001_initial.py", "Python", 0, 0, 0, 15, 0, 1, 7, 23
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0002_cycle.py", "Python", 0, 0, 0, 19, 0, 1, 6, 26
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0003_alter_cycle_owner_id.py", "Python", 0, 0, 0, 12, 0, 1, 6, 19
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0004_alter_cycle_cycle_img_alter_cycle_owner_id.py", "Python", 0, 0, 0, 17, 0, 1, 6, 24
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0005_alter_cycle_dop_alter_cycle_owner_id.py", "Python", 0, 0, 0, 17, 0, 1, 6, 24
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0006_delete_photo_alter_cycle_owner_id.py", "Python", 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0007_appuser.py", "Python", 0, 0, 0, 37, 0, 1, 6, 44
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0008_remove_appuser_username.py", "Python", 0, 0, 0, 11, 0, 1, 6, 18
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0009_delete_appuser.py", "Python", 0, 0, 0, 10, 0, 1, 6, 17
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0010_appuser.py", "Python", 0, 0, 0, 35, 0, 1, 6, 42
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0011_delete_appuser.py", "Python", 0, 0, 0, 10, 0, 1, 6, 17
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0012_alter_cycle_owner_id.py", "Python", 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0013_rename_owner_id_cycle_owner.py", "Python", 0, 0, 0, 12, 0, 1, 6, 19
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0014_appuser.py", "Python", 0, 0, 0, 20, 0, 1, 6, 27
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0015_alter_cycle_owner.py", "Python", 0, 0, 0, 13, 0, 1, 6, 20
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\0016_cycle_description_cycle_is_avail_cycle_no_of_rents_and_more.py", "Python", 0, 0, 0, 27, 0, 1, 6, 34
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\models.py", "Python", 0, 0, 0, 23, 0, 18, 7, 48
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\tests.py", "Python", 0, 0, 0, 1, 0, 1, 2, 4
